Title,Difficulty,NormalType,NormalTier,HardType,HardTier
HADES,ANOTHER,지력,A,지력,B+
HAERETICUS,ANOTHER,지력,A,지력,A
HARD BRAIN,ANOTHER,지력,B,지력,C
hard-wired,ANOTHER,지력,S,지력,S
Hat Surprise (Season 2),ANOTHER,지력,E,지력,E
HEROES,ANOTHER,지력,A,개인차,A+
Here We Go Now,ANOTHER,지력,C,지력,C
Highcharge Divolt,ANOTHER,지력,D,지력,D
Hollywood Galaxy,ANOTHER,개인차,B+,지력,A
hora de verdad,ANOTHER,개인차,C,지력,B
HYENA,LEGGENDARIA,지력,A+,지력,A+
HyperTwist,ANOTHER,지력,D,지력,B
I,ANOTHER,지력,B,지력,B
ICARUS,ANOTHER,개인차,E,개인차,C
ICARUS,LEGGENDARIA,지력,S,지력,S+
Idola,ANOTHER,지력,C,지력,C
Ignis†Iræ,ANOTHER,지력,A+,지력,S
Illegal Function Call,LEGGENDARIA,지력,S+,지력,S+
Illusionary Waterlily,ANOTHER,지력,B,지력,B+
IMPLANTATION,ANOTHER,개인차,B,개인차,B
INAZUMA,LEGGENDARIA,개인차,A,지력,A
Inferno of Fomalhaut,ANOTHER,개인차,B+,개인차,A
INHERITANCE,LEGGENDARIA,지력,B,지력,B
Initiation,ANOTHER,지력,A+,지력,A+
innocent revolver,ANOTHER,지력,C,지력,B
Innocent Walls,HYPER,개인차,E,개인차,D
Innocent Walls,ANOTHER,개인차,E,개인차,D
INSOMNIA,ANOTHER,지력,B,지력,B+
Invitation from Mr.C,ANOTHER,지력,C,개인차,B
invoker,ANOTHER,지력,E,지력,E
invoker,LEGGENDARIA,개인차,A+,지력,A+
JOMANDA,ANOTHER,지력,B+,개인차,A
JUSTICE/GUILTY feat. Nana Takahashi & 709sec.,ANOTHER,지력,E,지력,C
KAISER PHOENIX,ANOTHER,지력,A,지력,A+
KAISER PHOENIX,LEGGENDARIA,지력,S,지력,S+
KAMAITACHI,LEGGENDARIA,지력,S+,지력,S+
KILL EACH OTHER,ANOTHER,지력,B,지력,B
KING,LEGGENDARIA,지력,E,지력,D
King of Tribe,ANOTHER,지력,E,지력,D
Konzert V,ANOTHER,지력,C,지력,B
kors k's How to make OTOGE CORE 「LONG」,ANOTHER,지력,B+,지력,A
Kung-fu Empire,LEGGENDARIA,지력,D,지력,C
L.F.O,ANOTHER,지력,C,지력,C
LASER CRUSTER,ANOTHER,지력,E,지력,E
LASER CRUSTER (IGNITE REMIX),ANOTHER,지력,B,지력,B+
Last Dance,ANOTHER,지력,C,지력,C
Lethal Weapon,ANOTHER,지력,C,지력,C
Level 2,ANOTHER,개인차,C,개인차,B+
Level 3,ANOTHER,개인차,A+,개인차,S
Level 4,ANOTHER,개인차,A+,개인차,S
Level 5,ANOTHER,개인차,S,개인차,S+
Level One,ANOTHER,개인차,A,개인차,S
Liberation,ANOTHER,지력,E,지력,D
"Life Is A Game ft.DD""ナカタ""Metal",ANOTHER,지력,A,지력,A
LIGHTNING STRIKES,ANOTHER,지력,E,지력,E
LIGHTNING STRIKES,LEGGENDARIA,지력,A+,지력,S
Lightspeed,ANOTHER,지력,B,지력,B+
Lisa-RICCIA,ANOTHER,지력,E,지력,E
Lisa-RICCIA,LEGGENDARIA,지력,S,지력,S+
Little Little Princess,LEGGENDARIA,지력,B,지력,B
Little Star,ANOTHER,지력,E,지력,E
LIVE DRIVING!! feat. 花たん,ANOTHER,지력,C,지력,C
LOCUS OF THE TRAVEL,ANOTHER,지력,A,지력,A+
Lords Of The Roundtable,ANOTHER,개인차,S,개인차,S
Lost Souls,LEGGENDARIA,지력,S,지력,S
LOST TECHNOLOGIE,ANOTHER,지력,C,지력,B
LOUDER ROLLING THUNDER,ANOTHER,지력,A+,지력,A+
M4K3 1T B0UNC3,ANOTHER,지력,C,지력,C
Mächö Mönky,ANOTHER,지력,B+,지력,A
MAD ATTACK,LEGGENDARIA,개인차,C,개인차,B+
Makin' It,ANOTHER,개인차,S,개인차,S
Mare Nectaris,ANOTHER,지력,S+,지력,S+
Marie Antoinette,LEGGENDARIA,개인차,B+,개인차,B+
MARLIN,ANOTHER,지력,C,지력,B
Matt Silver,ANOTHER,지력,D,지력,D
MAX 300,ANOTHER,지력,B,개인차,B+
MAX 360,ANOTHER,지력,B,지력,B
MAXIMUM CHEAT GIRL,ANOTHER,지력,B,지력,B+
MEGAERA,ANOTHER,지력,S,지력,S
Megalara Garuda,ANOTHER,지력,D,지력,C
Memoria Obscura,ANOTHER,지력,A+,지력,A+
MENDES,ANOTHER,지력,A,지력,A
Meissa,ANOTHER,지력,D,지력,C
Mid-Corner (Magic Maker),ANOTHER,지력,C,지력,B
Million Dollar,ANOTHER,지력,C,지력,B
Miracle 5ympho X,LEGGENDARIA,개인차,A,개인차,S
Monopole.,ANOTHER,지력,B,지력,B+
moon_child,ANOTHER,지력,E,지력,E
mosaic,ANOTHER,개인차,D,개인차,E
n/a,ANOTHER,지력,S+,지력,S+
No Border,ANOTHER,지력,D,지력,D
Nothing but Theory,LEGGENDARIA,지력,D,지력,D
NEO GENERATOR SEVEN,ANOTHER,지력,C,지력,B
neu,ANOTHER,지력,B+,지력,B
New Castle Legions,ANOTHER,개인차,C,개인차,B
NEW GENERATION-もう、お前しか見えない-,LEGGENDARIA,지력,B+,지력,A
Nightmare before oversleep,ANOTHER,지력,C,지력,C
NINJA IS DEAD IIDX ver.,ANOTHER,지력,E,지력,E
NITROUS CANNON,ANOTHER,지력,B,지력,B+
NNRT,ANOTHER,지력,C,지력,C
NOIXIA,ANOTHER,지력,A,지력,A+
NZM,ANOTHER,지력,A+,개인차,A+
O/D*20,LEGGENDARIA,지력,B+,지력,A
ONE AND ONLY,ANOTHER,지력,D,지력,C
One for All,ANOTHER,지력,B,지력,B
One More Lovely,ANOTHER,지력,B+,지력,C
one or eight,ANOTHER,개인차,E,개인차,D
ONIGOROSHI,ANOTHER,개인차,C,개인차,B
oratio,ANOTHER,지력,D,지력,D
ORCA,ANOTHER,지력,B+,지력,B+
OTENAMI Hurricane,ANOTHER,지력,B,지력,B
Out of Control,ANOTHER,지력,D,지력,C
Override,LEGGENDARIA,지력,S,지력,S
Painful Fate,ANOTHER,지력,A,지력,A
Papilio ulysses,ANOTHER,개인차,B,개인차,B+
PARADISE LOST,ANOTHER,지력,A+,지력,A+
PARANOiA ～HADES～,ANOTHER,개인차,B,개인차,A
Pārvatī,ANOTHER,지력,D,지력,D
Peaktime Booster,ANOTHER,개인차,B+,개인차,A
perditus†paradisus,ANOTHER,지력,S,지력,S
PERFECT GREAT!!,ANOTHER,지력,A,지력,A
Persephone,ANOTHER,지력,D,지력,D
Phoenix,LEGGENDARIA,지력,S,지력,S
Pinky Happy Crazy,ANOTHER,개인차,A,지력,B+
Plan 8,ANOTHER,개인차,S+,개인차,S+
PLASMA SOUL NIGHT feat. Nana Takahashi / 709sec.,ANOTHER,지력,B+,지력,B+
Plazma,LEGGENDARIA,지력,C,지력,C
PLEASE DON'T GO,ANOTHER,개인차,C,개인차,C
POLꓘAMAИIA,LEGGENDARIA,지력,A,지력,A+
POSSESSION,ANOTHER,지력,D,개인차,C
Primitive Vibes,ANOTHER,지력,F,지력,F
Proof of the existence,ANOTHER,지력,B,지력,B
PUNISHER,ANOTHER,지력,D,지력,C
Purple Perplex,ANOTHER,개인차,A,개인차,A+
Push on Beats!～音ゲの国のeX-ストリーマー～,ANOTHER,지력,C,지력,B
Quakes,ANOTHER,지력,A+,지력,A+
QUANTUM TELEPORTATION,LEGGENDARIA,지력,B,지력,B
quaver♪,ANOTHER,지력,B,지력,B
quell～the seventh slave～,ANOTHER,지력,A,지력,A
ra'am,ANOTHER,지력,B,개인차,B+
rage against usual,ANOTHER,지력,C,개인차,A+
RAGE feat.H14 of LEONAIR,ANOTHER,개인차,S+,개인차,S+
RALLY '25,ANOTHER,지력,D,지력,D
RAIN,ANOTHER,지력,C,지력,D
Rampage,ANOTHER,지력,D,지력,D
Raspberry Railgun,ANOTHER,지력,E,지력,E
Rave Cannon,ANOTHER,지력,D,지력,D
Rave*it!! Rave*it!!,ANOTHER,개인차,C,개인차,A+
Rave Patroller,ANOTHER,지력,C,지력,D
RED ZONE,LEGGENDARIA,지력,E,지력,E
Red. by Full Metal Jacket,ANOTHER,개인차,B,개인차,A
Red. by Jack Trance,ANOTHER,개인차,A+,개인차,S
Reflux,ANOTHER,개인차,A+,개인차,A+
refrain,ANOTHER,지력,B,지력,B
Regina vespaE,ANOTHER,지력,B,개인차,B+
Resonant,ANOTHER,지력,B+,지력,A
reunion,ANOTHER,지력,B,지력,A
REVOLVER,LEGGENDARIA,지력,A+,개인차,S
RINИE,ANOTHER,지력,C,지력,C
Ristaccia,ANOTHER,지력,F,지력,F
RIZING-GAMERS.,ANOTHER,지력,D,지력,B
Roar of Chronos,ANOTHER,지력,C,지력,C
rommmo,ANOTHER,지력,C,지력,B
ruin of opals,ANOTHER,지력,B,지력,B
RUINA,ANOTHER,개인차,A+,개인차,S
sakura storm,ANOTHER,개인차,F,개인차,E
SAMURAI-Scramble,LEGGENDARIA,개인차,S+,개인차,S+
Satellite Burst,ANOTHER,지력,A+,지력,A+
Saturn,LEGGENDARIA,지력,A+,지력,S
SAY BAY,ANOTHER,지력,C,지력,B
Say YEEEAHH,ANOTHER,지력,D,지력,C
SCREAM SQUAD,ANOTHER,개인차,E,개인차,E
SCREW // owo // SCREW,ANOTHER,개인차,A+,개인차,A+
Scripted Connection⇒ A mix,ANOTHER,지력,D,개인차,C
Scripted Connection⇒ A mix,LEGGENDARIA,개인차,A,지력,A
Scripted Connection⇒ H mix,LEGGENDARIA,지력,D,지력,D
Secrets,LEGGENDARIA,지력,A,지력,A+
Sense 2007,ANOTHER,개인차,C,개인차,B
Session 9-Chronicles-,ANOTHER,지력,B,지력,B+
Seven Times Four,ANOTHER,지력,C,지력,C
Shooting Fireball,ANOTHER,지력,B+,지력,B+
Sigmund,ANOTHER,지력,S,지력,S
Sigmund,LEGGENDARIA,지력,S+,지력,S+
Silver Bullet,ANOTHER,지력,D,지력,C
Sinus Iridum,ANOTHER,지력,S,지력,S+
Sirius,ANOTHER,지력,E,지력,E
SISYPHUS,ANOTHER,개인차,D,개인차,C
Skratch Education Lv-1,ANOTHER,개인차,S+,개인차,S+
Sky High,ANOTHER,지력,B,지력,B+
Slipstream,ANOTHER,지력,B,지력,B+
Smalt #28598F,ANOTHER,지력,B,지력,C
Smashing Wedge,ANOTHER,지력,A+,지력,A+
Snake Stick,ANOTHER,개인차,B+,개인차,A+
Snakey Kung-fu,ANOTHER,지력,B+,개인차,B+
snow storm,LEGGENDARIA,지력,F,지력,F
Sol Cosine Job 2,ANOTHER,지력,C,지력,C
SOLAR ECLIPSE,ANOTHER,지력,A+,개인차,S
SOLID STATE SQUAD,ANOTHER,지력,D,지력,D
SOLID STATE SQUAD,LEGGENDARIA,지력,A,지력,A
SOLID STATE SQUAD -RISEN RELIC REMIX-,ANOTHER,지력,C,지력,C
SOLID WYVERN,LEGGENDARIA,지력,A+,지력,A+
Somnidiscotheque,ANOTHER,지력,S+,지력,S+
Sounds Of Summer,ANOTHER,지력,C,지력,C
Space Battleship S4TØ,ANOTHER,지력,C,지력,C
SpaceLand☆TOYBOX,ANOTHER,지력,D,지력,D
SPECIAL SUMMER CAMPAIGN!,ANOTHER,지력,F,지력,F
spiral galaxy,LEGGENDARIA,지력,C,지력,D
STARLIGHT DANCEHALL,LEGGENDARIA,지력,B+,지력,B+
Steel Edge,ANOTHER,개인차,E,지력,E
STEEL NEEDLE,LEGGENDARIA,개인차,A,지력,S
Stereo Beasts,ANOTHER,지력,D,지력,D
StrayedCatz,ANOTHER,지력,B+,지력,B+
STULTI,ANOTHER,개인차,B+,지력,A
Submerge Serenade,LEGGENDARIA,지력,B+,지력,A
SμG@R RU$#,ANOTHER,지력,S+,지력,S+
Summerlights(IIDX Edition),ANOTHER,지력,E,지력,D
Super Duper Racers,LEGGENDARIA,지력,B,지력,B
Super Freak,ANOTHER,지력,C,지력,C
Super Rush,ANOTHER,지력,B,지력,B
suspicions,ANOTHER,지력,A,지력,A
